Unnamed: 0,initial_answer_display,initial_answer,gt_answer,predicted_label,initial_binary_correctness,other_LLM_answer,other_llm_answer_type,second_answer,second_turn_predicted_label,second_turn_binary_correctness,final_answer,change_of_mind,other_llm_accuracy,city,actual_latitude,alt_latitude
36,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Nha Trang,12.975,13.75
37,shown,b,a,1,0,a,Opposite,b,1,0,b,0,50,Rocky River,44.0875,46.675
38,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Mulukukú,12.375,11.55
39,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Chulym,58.55,62.0
40,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Santa Rosa,-35.2875,-37.375
41,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Nimmekal,18.2875,19.375
42,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Fukuyoshi,35.8,37.9
43,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Kaspiyskiy,48.2375,51.075
44,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tumbao,7.55,8.0
45,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Cairo Montenotte,41.625,38.85
46,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Divnoye,48.775,51.65
47,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Caçapava,-24.55,-26.0
48,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Hikari,31.875,29.75
49,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Vohburg an der Donau,51.85,54.9
50,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Bicas,-23.0625,-24.425
51,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Kanbara,32.9125,30.725
52,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Gyapekurom,7.125,6.65
53,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Thāthūpur,24.375,22.75
54,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Ampasimazava,-16.5875,-15.475
55,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Spittal an der Drau,49.725,52.65
56,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Walthamstow,54.825,58.05
57,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Sihecun,21.0875,19.675
58,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Frankfort,44.0875,46.675
59,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Higüey,19.7625,20.925
60,shown,b,a,1,0,a,Opposite,b,1,0,b,0,50,Western Springs,39.1875,36.575
61,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Mandoto,-18.375,-17.15
62,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Pānrepatti,27.1875,28.775
63,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Kohtla-Järve,63.1125,66.825
64,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Hershey,42.8125,45.325
65,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Dezfūl,34.425,36.45
66,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Folkestone,47.9,44.7
67,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Xudat,39.0,36.4
68,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Cross Lanes,40.8125,43.225
69,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Ewarton,17.0625,15.925
70,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Liaojiayuan,27.5625,25.725
71,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Westerland,51.475,48.05
72,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Dęblin,54.825,58.05
73,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Blytheville,33.6625,31.425
74,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Lavrentiya,69.7,73.8
75,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Kurşunlu,38.25,35.7
76,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Qo‘ng‘irot Shahri,45.7,48.4
77,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Fructuoso de Bagés,39.1875,36.575
78,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Montemurlo,41.1625,38.425
79,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Fortaleza dos Nogueiras,-7.3375,-7.775
80,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Khagam,29.0125,30.725
81,shown,b,a,1,0,a,Opposite,b,1,0,b,0,50,Valencia,8.8125,9.325
82,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Chalco,43.775,46.35
83,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Pyeongtaek,39.3125,41.625
84,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Urganch,44.1875,46.775
85,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Jessore,24.65,26.1
86,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Altınova,43.2375,45.775
87,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Najrīj,29.0625,27.125
88,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Zhongshan,37.0875,39.275
89,shown,b,a,1,0,a,Opposite,b,1,0,b,0,50,Ortakent,39.425,41.75
90,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Sanaur,28.4125,26.525
91,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Vilankulo,-20.625,-19.25
92,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Haldipur,13.4125,12.525
93,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Nuevo Ideal,23.3375,21.775
94,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Banning,31.7875,29.675
95,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Thatta,26.25,27.8
96,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Pharkia,24.2875,22.675
97,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,San Juan,12.9375,12.075
98,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Stara Zagora,45.05,47.7
99,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,West Auckland,51.1875,47.775
100,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Cox’s Bāzār,20.0625,18.725
101,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Carpina,-8.3875,-8.875
102,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Bửu Long,11.675,12.35
103,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Buzuluk,49.5,46.2
104,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Mouzaïa,38.775,41.05
105,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Cornedo Vicentino,42.75,39.9
106,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Vembaditālam,12.2125,12.925
107,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bayat,37.975,35.45
108,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Talne,45.8375,42.775
109,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Ambatofotsy,-23.15,-24.5
110,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bāpaura,27.0,25.2
111,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Peterlee,58.2125,61.625
112,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tierra Amarilla,-29.2125,-30.925
113,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Mesetas,3.6125,3.825
114,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Quakertown,42.9375,45.475
115,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Pedro Sacatepéquez,13.775,12.85
116,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Makamba,-4.3625,-4.625
117,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Espera Feliz,-19.3125,-18.025
118,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,La Plata,36.1,33.7
119,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Fontenay-sous-Bois,45.8375,42.775
120,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tecoh,22.0,23.3
121,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Comapa,20.3875,21.575
122,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Pragatinagar,29.425,31.15
123,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Kappeln,51.275,47.85
124,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Celaya,21.7875,23.075
125,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Saboeiro,-6.9125,-7.325
126,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Abū Dīs,33.775,35.75
127,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Monteroni di Lecce,37.7875,35.275
128,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Douar Laouamra,29.8125,27.825
129,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bắc Ninh,22.525,23.85
130,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Antonio,13.975,13.05
131,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Siliancun,21.2875,19.875
132,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Xiushui,25.5125,27.025
133,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Gasparillo,10.95,11.6
134,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Lugoj,42.85,40.0
135,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Ceadîr-Lunga,48.8875,51.775
136,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Neustadt am Rübenberge,55.7875,59.075
137,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Haymā’,21.2375,22.475
138,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Anselmo,35.625,33.25
139,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Toyohashi,32.625,30.45
140,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Veszprém,50.0375,52.975
141,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Aerzen,48.75,45.5
142,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Rio Grande City,28.05,29.7
143,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Alwar,29.225,30.95
144,shown,a,b,0,0,b,Opposite,a,0,0,a,0,50,Nāhan,28.6875,26.775
145,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Laranjal Paulista,-24.45,-25.9
146,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Zarzis,35.5875,37.675
147,shown,b,b,1,1,a,Opposite,b,1,1,b,0,50,Savelugu,10.2,10.8
148,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Acajutla,14.45,15.3
149,shown,a,a,0,1,b,Opposite,a,0,1,a,0,50,Minto,41.1625,38.425
150,hidden,b,a,1,0,a,Opposite,a,0,1,a,1,50,Ban Pa Sak,17.8625,18.925
151,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,The Nation / La Nation,48.225,51.05
152,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Mealhada,37.875,35.35
153,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Lower Pottsgrove,37.775,35.25
154,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bayugan,8.1625,7.625
155,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Castel Volturno,38.4375,35.875
156,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Zdzieszowice,47.25,44.1
157,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tortolì,42.4,44.9
158,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Svobodnyy,48.1875,44.975
159,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Paraibuna,-24.8625,-26.325
160,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Los Alamos,38.1375,40.375
161,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tocaima,4.2125,3.925
162,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Santa Barbara,15.0,14.0
163,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Zamalkā,35.6,37.7
164,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Qādiān,33.7875,35.775
165,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Jiamusi,49.725,52.65
166,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Marib,16.4625,17.425
167,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Sidi Abdellah Ben Taazizt,31.875,29.75
168,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,San José Tenango,17.0625,15.925
169,hidden,b,b,1,1,a,Opposite,b,1,1,b,0,50,Chavuttahalli,11.625,10.85
170,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Burton upon Trent,49.5,46.2
171,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Corby,49.2125,45.925
172,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Quyang,24.9375,23.275
173,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Kwale,-4.4625,-4.725
174,hidden,b,b,1,1,a,Opposite,b,1,1,b,0,50,Zschopau,53.9625,57.125
175,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Lānjī,22.85,24.2
176,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Mühlhausen,46.125,43.05
177,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Zorgo,12.975,13.75
178,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Southeast,43.9875,46.575
179,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Jeumont,53.4375,56.575
180,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Cockeysville,41.9625,44.425
181,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Nāngloi Jāt,30.4875,32.275
182,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Hockley,54.825,58.05
183,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Bussolengo,42.65,39.8
184,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Briceño,7.55,8.0
185,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Biot,40.875,38.15
186,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Nha Trang,12.975,13.75
187,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Rocky River,44.0875,46.675
188,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Mulukukú,12.375,11.55
189,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Chulym,58.55,62.0
190,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Santa Rosa,-35.2875,-37.375
191,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Nimmekal,18.2875,19.375
192,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Fukuyoshi,35.8,37.9
193,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Kaspiyskiy,48.2375,51.075
194,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Tumbao,7.55,8.0
195,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Cairo Montenotte,41.625,38.85
196,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Divnoye,48.775,51.65
197,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Caçapava,-24.55,-26.0
198,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Hikari,31.875,29.75
199,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Vohburg an der Donau,51.85,54.9
200,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Bicas,-23.0625,-24.425
201,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Kanbara,32.9125,30.725
202,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Gyapekurom,7.125,6.65
203,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Thāthūpur,24.375,22.75
204,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Ampasimazava,-16.5875,-15.475
205,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Spittal an der Drau,49.725,52.65
206,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Walthamstow,54.825,58.05
207,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Sihecun,21.0875,19.675
208,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Frankfort,44.0875,46.675
209,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Higüey,19.7625,20.925
210,hidden,b,a,1,0,a,Opposite,a,0,1,a,1,50,Western Springs,39.1875,36.575
211,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Mandoto,-18.375,-17.15
212,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Pānrepatti,27.1875,28.775
213,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Kohtla-Järve,63.1125,66.825
214,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Hershey,42.8125,45.325
215,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Dezfūl,34.425,36.45
216,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Folkestone,47.9,44.7
217,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Xudat,39.0,36.4
218,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Cross Lanes,40.8125,43.225
219,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Ewarton,17.0625,15.925
220,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Liaojiayuan,27.5625,25.725
221,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Westerland,51.475,48.05
222,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Dęblin,54.825,58.05
223,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Blytheville,33.6625,31.425
224,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Lavrentiya,69.7,73.8
225,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Kurşunlu,38.25,35.7
226,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Qo‘ng‘irot Shahri,45.7,48.4
227,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,San Fructuoso de Bagés,39.1875,36.575
228,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Montemurlo,41.1625,38.425
229,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Fortaleza dos Nogueiras,-7.3375,-7.775
230,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Khagam,29.0125,30.725
231,hidden,b,a,1,0,a,Opposite,a,0,1,a,1,50,Valencia,8.8125,9.325
232,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Chalco,43.775,46.35
233,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Pyeongtaek,39.3125,41.625
234,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Urganch,44.1875,46.775
235,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Jessore,24.65,26.1
236,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Altınova,43.2375,45.775
237,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Najrīj,29.0625,27.125
238,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Zhongshan,37.0875,39.275
239,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Ortakent,39.425,41.75
240,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Sanaur,28.4125,26.525
241,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Vilankulo,-20.625,-19.25
242,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Haldipur,13.4125,12.525
243,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Nuevo Ideal,23.3375,21.775
244,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Banning,31.7875,29.675
245,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Thatta,26.25,27.8
246,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Pharkia,24.2875,22.675
247,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,San Juan,12.9375,12.075
248,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Stara Zagora,45.05,47.7
249,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,West Auckland,51.1875,47.775
250,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Cox’s Bāzār,20.0625,18.725
251,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Carpina,-8.3875,-8.875
252,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Bửu Long,11.675,12.35
253,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Buzuluk,49.5,46.2
254,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Mouzaïa,38.775,41.05
255,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Cornedo Vicentino,42.75,39.9
256,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Vembaditālam,12.2125,12.925
257,hidden,b,a,1,0,a,Opposite,a,0,1,a,1,50,Bayat,37.975,35.45
258,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Talne,45.8375,42.775
259,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Ambatofotsy,-23.15,-24.5
260,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bāpaura,27.0,25.2
261,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Peterlee,58.2125,61.625
262,hidden,a,a,0,1,b,Opposite,b,1,0,b,1,50,Tierra Amarilla,-29.2125,-30.925
263,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Mesetas,3.6125,3.825
264,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Quakertown,42.9375,45.475
265,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Pedro Sacatepéquez,13.775,12.85
266,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Makamba,-4.3625,-4.625
267,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Espera Feliz,-19.3125,-18.025
268,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,La Plata,36.1,33.7
269,hidden,a,b,0,0,b,Opposite,a,0,0,a,0,50,Fontenay-sous-Bois,45.8375,42.775
270,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Tecoh,22.0,23.3
271,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Comapa,20.3875,21.575
272,hidden,a,b,0,0,b,Opposite,b,1,1,b,1,50,Pragatinagar,29.425,31.15
273,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Kappeln,51.275,47.85
274,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Celaya,21.7875,23.075
275,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Saboeiro,-6.9125,-7.325
276,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Abū Dīs,33.775,35.75
277,hidden,b,b,1,1,a,Opposite,a,0,0,a,1,50,Monteroni di Lecce,37.7875,35.275
278,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Douar Laouamra,29.8125,27.825
279,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Bắc Ninh,22.525,23.85
280,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,San Antonio,13.975,13.05
281,hidden,b,a,1,0,a,Opposite,a,0,1,a,1,50,Siliancun,21.2875,19.875
282,hidden,a,a,0,1,b,Opposite,a,0,1,a,0,50,Xiushui,25.5125,27.025
