Unnamed: 0,city,actual_latitude,alt_latitude,initial_answer,gt_answer,logprob_a,logprob_b,logits_a,logits_b,confidence_a,confidence_b,predicted_label,initial_binary_correctness,other_llm_answer,other_llm_answer_type,second_answer,change_of_mind,second_turn_predicted_label,second_turn_binary_correctness,second_turn_confidence_a,second_turn_confidence_b,final_answer,final_logprob_a,final_logprob_b,final_logits_a,final_logits_b,other_llm_accuracy,initial_answer_display
15,Jiamusi,46.8,70.2,a,a,-0.038330078125,-5.15625,27.875,22.75,0.82535094,0.17464899,0,1,b,Opposite,a,0,0,1,0.926755,0.07324502,a,0.0,-8.375,36.5,28.125,50,shown
16,Marib,15.5,23.2,a,a,-0.42578125,-1.921875,28.0,26.5,0.6117193,0.38828072,0,1,b,Opposite,a,0,0,1,0.9033356,0.09666449,a,0.0,-7.375,37.5,30.125,50,shown
17,Sidi Abdellah Ben Taazizt,34.0,17.0,b,b,-5.25,-0.0155029296875,22.875,28.125,0.16925605,0.83074397,1,1,a,Opposite,b,0,1,1,0.0658957,0.9341043,b,-8.75,0.0,29.0,37.75,50,shown
18,San José Tenango,18.2,9.1,b,a,-1.8359375,-0.2109375,27.125,28.75,0.37932274,0.62067735,1,0,a,Opposite,b,0,1,0,0.27193087,0.72806907,b,-3.28125,-0.038330078125,45.0,48.25,50,shown
19,Chavuttahalli,12.4,6.2,a,a,-0.1455078125,-2.515625,27.25,24.875,0.67254025,0.3274597,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,37.25,29.0,50,shown
20,Burton upon Trent,52.8,26.4,b,b,-9.125,-0.007781982421875,22.375,31.5,0.05923661,0.94076335,1,1,a,Opposite,b,0,1,1,0.028672421,0.97132754,b,-11.625,0.0,26.875,38.5,50,shown
21,Corby,52.5,26.2,b,b,-8.375,-0.007781982421875,22.5,30.875,0.07324502,0.926755,1,1,a,Opposite,b,0,1,1,0.04443897,0.9555611,b,-10.125,0.0,27.875,38.0,50,shown
22,Quyang,26.6,13.3,a,a,-0.05322265625,-4.4375,26.75,22.375,0.790138,0.2098619,0,1,b,Opposite,a,0,0,1,0.9317341,0.06826591,a,0.0,-8.625,36.75,28.125,50,shown
23,Kwale,-4.2,-6.3,a,a,-0.08984375,-3.84375,28.875,25.125,0.75701135,0.24298865,0,1,b,Opposite,a,0,0,1,0.9341043,0.0658957,a,0.0,-8.75,37.25,28.5,50,shown
24,Zschopau,50.8,76.1,b,b,-9.0,-0.007781982421875,21.125,30.125,0.0613831,0.93861693,1,1,a,Opposite,b,0,1,1,0.03843118,0.96156883,b,-10.625,0.0,25.375,36.0,50,shown
25,Lānjī,21.5,32.3,a,b,-3.03125,-6.65625,27.875,24.25,0.74997616,0.25002387,0,0,b,Opposite,a,0,0,0,0.88548756,0.11451249,a,-9.0,-15.75,26.5,19.75,50,shown
26,Mühlhausen,49.2,24.6,b,b,-8.375,-0.007781982421875,20.75,29.125,0.07324502,0.926755,1,1,a,Opposite,b,0,1,1,0.046075508,0.95392454,b,-10.0,0.0,24.75,34.75,50,shown
27,Zorgo,12.2,18.4,b,a,-2.5,-0.1318359375,27.5,29.875,0.3274597,0.67254025,1,0,a,Opposite,b,0,1,0,0.09340696,0.90659314,b,-7.5,0.0,41.0,48.5,50,shown
28,Southeast,41.4,62.1,b,b,-5.28125,-0.023193359375,23.625,28.875,0.16925605,0.83074397,1,1,a,Opposite,b,0,1,1,0.093407035,0.906593,b,-7.5,0.0,33.0,40.5,50,shown
29,Jeumont,50.3,75.4,b,b,-8.375,-0.007781982421875,21.5,29.875,0.073245056,0.926755,1,1,a,Opposite,b,0,1,1,0.053212162,0.9467878,b,-9.5,0.0,27.0,36.5,50,shown
30,Cockeysville,39.5,59.2,a,a,-0.023193359375,-8.375,29.5,21.125,0.926755,0.07324502,0,1,b,Opposite,a,0,0,1,0.9386168,0.061383147,a,0.0,-9.0,36.25,27.25,50,shown
31,Nāngloi Jāt,28.7,43.0,a,a,-0.03076171875,-5.28125,27.75,22.5,0.83074397,0.16925605,0,1,b,Opposite,a,0,0,1,0.906593,0.093407035,a,0.0,-7.5,36.25,28.75,50,shown
32,Hockley,51.6,77.4,a,a,-0.03076171875,-6.65625,28.5,21.875,0.88159025,0.1184098,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,37.25,29.0,50,shown
33,Bussolengo,45.5,22.7,b,b,-9.0,-0.007781982421875,20.75,29.75,0.0613831,0.93861693,1,1,a,Opposite,b,0,1,1,0.037055604,0.9629444,b,-10.75,0.0,27.5,38.25,50,shown
34,Briceño,7.1,10.7,b,b,-0.6015625,-0.8515625,28.25,28.0,0.51893044,0.48106954,1,1,a,Opposite,b,0,1,1,0.13965216,0.8603478,b,-6.0,0.0,40.0,46.0,50,shown
35,Biot,43.6,21.8,<,a,-inf,-inf,-inf,-inf,,,-1,-1,a,Opposite,b,1,1,0,0.0813427,0.9186573,b,-8.0,0.0,29.0,37.0,50,shown
36,Nha Trang,12.2,18.4,a,b,-0.0458984375,-5.28125,27.625,22.375,0.83074397,0.16925605,0,0,b,Opposite,a,0,0,0,0.9448468,0.05515315,a,0.0,-9.375,36.75,27.375,50,shown
37,Rocky River,41.5,62.2,a,a,-0.023193359375,-7.53125,28.875,21.375,0.906593,0.09340698,0,1,b,Opposite,a,0,0,1,0.9214433,0.07855667,a,0.0,-8.125,35.75,27.625,50,shown
38,Mulukukú,13.2,6.6,b,b,-1.015625,-0.63671875,27.875,28.25,0.4716215,0.5283784,1,1,a,Opposite,b,0,1,1,0.10002291,0.8999771,b,-7.25,0.0,36.5,43.75,50,shown
39,Chulym,55.1,82.7,b,b,-7.125,-0.0155029296875,21.0,28.125,0.1034848,0.89651525,1,1,a,Opposite,b,0,1,1,0.08718627,0.9128138,b,-7.75,0.0,30.0,37.75,50,shown
40,Santa Rosa,-33.2,-49.9,a,a,-0.373046875,-1.75,27.875,26.5,0.6026854,0.39731458,0,1,b,Opposite,a,0,0,1,0.9186573,0.0813427,a,0.0,-8.0,36.25,28.25,50,shown
41,Nimmekal,17.2,25.9,<,b,-inf,-inf,-inf,-inf,,,-1,-1,a,Opposite,a,1,0,0,0.89651513,0.10348484,a,0.0,-7.125,36.25,29.125,50,shown
42,Fukuyoshi,33.7,50.5,b,b,-6.90625,-0.023193359375,21.125,28.0,0.11072735,0.8892727,1,1,a,Opposite,b,0,1,1,0.0813427,0.9186573,b,-8.0,0.0,32.5,40.5,50,shown
43,Kaspiyskiy,45.4,68.1,a,b,-0.060546875,-3.1875,28.375,25.25,0.7205054,0.2794946,0,0,b,Opposite,a,0,0,0,0.9186574,0.08134264,a,0.0,-8.0,36.0,28.0,50,shown
44,Tumbao,7.1,10.7,a,b,-1.7265625,-0.2294921875,27.25,28.75,0.38828072,0.6117193,0,0,b,Opposite,a,0,0,0,0.84612745,0.1538726,a,-9.25,-14.875,28.75,23.125,50,shown
45,Cairo Montenotte,44.4,22.2,b,b,-5.90625,-0.023193359375,21.375,27.25,0.14426567,0.85573435,1,1,a,Opposite,b,0,1,1,0.093407035,0.906593,b,-7.5,0.0,33.25,40.75,50,shown
46,Divnoye,45.9,68.9,a,a,-0.0751953125,-2.828125,28.125,25.375,0.6970592,0.3029408,0,1,b,Opposite,a,0,0,1,0.9157816,0.08421845,a,0.0,-7.875,36.75,28.875,50,shown
47,Caçapava,-23.1,-34.7,a,a,-0.10400390625,-4.21875,27.375,23.25,0.77729994,0.22270006,0,1,b,Opposite,a,0,0,1,0.9448468,0.05515315,a,0.0,-9.375,37.5,28.125,50,shown
48,Hikari,34.0,17.0,b,b,-6.625,-0.007781982421875,21.0,27.625,0.11840984,0.8815902,1,1,a,Opposite,b,0,1,1,0.07585818,0.9241418,b,-8.25,0.0,27.75,36.0,50,shown
49,Vohburg an der Donau,48.8,73.2,b,b,-8.25,-0.007781982421875,21.375,29.625,0.075858146,0.9241418,1,1,a,Opposite,b,0,1,1,0.032012552,0.9679874,b,-11.25,0.0,24.75,36.0,50,shown
50,Bicas,-21.7,-32.6,a,a,-0.0966796875,-3.59375,27.875,24.375,0.74280643,0.25719357,0,1,b,Opposite,a,0,0,1,0.9428394,0.05716066,a,0.0,-9.25,37.5,28.25,50,shown
51,Kanbara,35.1,17.6,a,a,-0.038330078125,-4.28125,27.625,23.375,0.7837879,0.21621212,0,1,b,Opposite,a,0,0,1,0.926755,0.07324502,a,0.0,-8.375,36.5,28.125,50,shown
52,Gyapekurom,7.6,3.8,a,a,-0.80859375,-0.68359375,27.5,27.625,0.4905314,0.5094686,0,1,b,Opposite,a,0,0,1,0.87345046,0.1265495,a,-10.375,-16.75,28.125,21.75,50,shown
53,Thāthūpur,26.0,13.0,b,b,-0.451171875,-1.203125,26.375,25.625,0.5565748,0.4434252,1,1,a,Opposite,b,0,1,1,0.10348475,0.89651525,b,-7.125,0.0,30.625,37.75,50,shown
54,Ampasimazava,-17.7,-8.8,a,b,-0.81640625,-0.69140625,29.625,29.75,0.4905314,0.5094686,0,0,b,Opposite,a,0,0,0,0.9214433,0.07855667,a,0.0,-8.125,37.5,29.375,50,shown
55,Spittal an der Drau,46.8,70.2,b,b,-8.0,-0.007781982421875,21.5,29.5,0.08134266,0.9186573,1,1,a,Opposite,b,0,1,1,0.039855707,0.96014434,b,-10.5,0.0,25.25,35.75,50,shown
56,Walthamstow,51.6,77.4,b,b,-8.125,-0.0155029296875,21.75,29.875,0.07855667,0.9214433,1,1,a,Opposite,b,0,1,1,0.03705564,0.9629444,b,-10.75,0.0,26.75,37.5,50,shown
57,Sihecun,22.5,11.2,a,a,-0.0751953125,-4.3125,27.0,22.75,0.7837879,0.21621212,0,1,b,Opposite,a,0,0,1,0.90975165,0.090248376,a,0.0,-7.625,36.25,28.625,50,shown
58,Frankfort,41.5,62.2,a,a,-0.03076171875,-5.53125,28.625,23.125,0.84113085,0.15886919,0,1,b,Opposite,a,0,0,1,0.9128138,0.08718627,a,0.0,-7.75,36.75,29.0,50,shown
59,Higüey,18.6,27.9,a,a,-0.138671875,-2.890625,26.875,24.125,0.6970592,0.3029408,0,1,b,Opposite,a,0,0,1,0.9428394,0.05716066,a,0.0,-9.25,37.75,28.5,50,shown
60,Western Springs,41.8,20.9,b,b,-7.375,-0.007781982421875,21.5,28.875,0.096664436,0.9033356,1,1,a,Opposite,b,0,1,1,0.035727475,0.96427256,b,-10.875,0.0,26.625,37.5,50,shown
61,Mandoto,-19.6,-9.8,a,a,-2.59375,-0.08984375,28.5,31.0,0.31917298,0.680827,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,36.5,28.25,50,shown
62,Pānrepatti,25.6,38.3,b,b,-6.28125,-0.023193359375,22.0,28.25,0.13079594,0.86920404,1,1,a,Opposite,b,0,1,1,0.08421845,0.9157816,b,-7.875,0.0,31.125,39.0,50,shown
63,Kohtla-Järve,59.4,89.1,b,b,-8.25,-0.007781982421875,21.625,29.875,0.07585821,0.9241418,1,1,a,Opposite,b,0,1,1,0.03085936,0.9691406,b,-11.375,0.0,25.625,37.0,50,shown
64,Hershey,40.3,60.4,a,a,-0.0155029296875,-6.0,28.375,22.375,0.8603478,0.13965216,0,1,b,Opposite,a,0,0,1,0.9186573,0.0813427,a,0.0,-8.0,36.5,28.5,50,shown
65,Dezfūl,32.4,48.6,b,b,-9.125,-0.007781982421875,20.625,29.75,0.05923661,0.94076335,1,1,a,Opposite,b,0,1,1,0.06826597,0.93173397,b,-8.625,0.0,29.125,37.75,50,shown
66,Folkestone,51.1,25.5,b,b,-9.25,-0.007781982421875,21.25,30.5,0.05716066,0.9428394,1,1,a,Opposite,b,0,1,1,0.024740983,0.97525907,b,-12.125,0.0,26.625,38.75,50,shown
67,Xudat,41.6,20.8,<,b,-inf,-inf,-inf,-inf,,,-1,-1,a,Opposite,a,1,0,0,0.93861693,0.0613831,a,0.0,-9.0,36.75,27.75,50,shown
68,Cross Lanes,38.4,57.7,a,a,-0.10400390625,-6.59375,27.625,21.125,0.8775786,0.122421436,0,1,b,Opposite,a,0,0,1,0.926755,0.07324502,a,0.0,-8.375,36.5,28.125,50,shown
69,Ewarton,18.2,9.1,a,b,-0.1845703125,-3.9375,26.375,22.625,0.75701135,0.24298865,0,0,b,Opposite,a,0,0,0,0.9241418,0.07585818,a,0.0,-8.25,36.0,27.75,50,shown
70,Liaojiayuan,29.4,14.7,a,a,-0.0458984375,-4.65625,27.125,22.5,0.8024242,0.19757582,0,1,b,Opposite,a,0,0,1,0.9128138,0.08718627,a,0.0,-7.75,36.75,29.0,50,shown
71,Westerland,54.9,27.5,a,a,-0.007781982421875,-7.125,29.625,22.5,0.89651525,0.10348475,0,1,b,Opposite,a,0,0,1,0.9428394,0.057160605,a,0.0,-9.25,36.75,27.5,50,shown
72,Dęblin,51.6,77.4,a,a,-0.023193359375,-6.78125,28.875,22.125,0.88548756,0.11451249,0,1,b,Opposite,a,0,0,1,0.94076335,0.059236664,a,0.0,-9.125,37.0,27.875,50,shown
73,Blytheville,35.9,18.0,b,b,-8.375,-0.007781982421875,21.25,29.625,0.07324502,0.926755,1,1,a,Opposite,b,0,1,1,0.035727475,0.96427256,b,-10.875,0.0,25.375,36.25,50,shown
74,Lavrentiya,65.6,98.4,a,a,-0.007781982421875,-8.0,29.75,21.75,0.9186574,0.08134264,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,36.0,27.75,50,shown
75,Kurşunlu,40.8,20.4,a,a,-0.08251953125,-3.703125,27.375,23.75,0.7499762,0.25002378,0,1,b,Opposite,a,0,0,1,0.93173397,0.06826597,a,0.0,-8.625,36.25,27.625,50,shown
76,Qo‘ng‘irot Shahri,43.0,64.6,b,b,-4.65625,-0.023193359375,24.5,29.125,0.19757573,0.80242425,1,1,a,Opposite,b,0,1,1,0.09024831,0.9097518,b,-7.625,0.0,30.375,38.0,50,shown
77,San Fructuoso de Bagés,41.8,20.9,a,a,-0.038330078125,-4.65625,27.125,22.5,0.8024242,0.19757582,0,1,b,Opposite,a,0,0,1,0.9428394,0.05716066,a,0.0,-9.25,37.0,27.75,50,shown
78,Montemurlo,43.9,22.0,b,b,-9.625,-0.007781982421875,20.375,30.0,0.051335804,0.94866425,1,1,a,Opposite,b,0,1,1,0.025671575,0.9743284,b,-12.0,0.0,27.75,39.75,50,shown
79,Fortaleza dos Nogueiras,-6.9,-10.4,b,b,-4.65625,-0.023193359375,24.25,28.875,0.19757582,0.8024242,1,1,a,Opposite,b,0,1,1,0.10002291,0.8999771,b,-7.25,0.0,34.75,42.0,50,shown
80,Khagam,27.3,41.0,a,a,-0.10400390625,-2.984375,27.75,24.875,0.7049978,0.29500216,0,1,b,Opposite,a,0,0,1,0.91281366,0.08718635,a,0.0,-7.75,37.5,29.75,50,shown
81,Valencia,8.3,12.4,b,a,-4.875,-0.0155029296875,24.5,29.375,0.18583974,0.8141602,1,0,a,Opposite,b,0,1,0,0.0785566,0.9214434,b,-8.125,0.0,29.875,38.0,50,shown
82,Chalco,41.2,61.8,b,b,-7.5,-0.007781982421875,21.0,28.5,0.09340698,0.906593,1,1,a,Opposite,b,0,1,1,0.053212162,0.9467878,b,-9.5,0.0,28.5,38.0,50,shown
83,Pyeongtaek,37.0,55.5,a,a,-0.03076171875,-7.15625,28.75,21.625,0.89651525,0.1034848,0,1,b,Opposite,a,0,0,1,0.93861693,0.0613831,a,0.0,-9.0,37.25,28.25,50,shown
84,Urganch,41.6,62.3,b,b,-8.75,-0.007781982421875,20.125,28.875,0.0658957,0.9341043,1,1,a,Opposite,b,0,1,1,0.041330744,0.95866925,b,-10.375,0.0,25.625,36.0,50,shown
85,Jessore,23.2,34.8,b,b,-7.125,-0.0155029296875,21.875,29.0,0.10348475,0.89651525,1,1,a,Opposite,b,0,1,1,0.093407035,0.906593,b,-7.5,0.0,33.75,41.25,50,shown
86,Altınova,40.7,61.0,<,a,-inf,-inf,-inf,-inf,,,-1,-1,a,Opposite,a,1,0,1,0.86920404,0.130796,a,-0.0155029296875,-6.25,36.5,30.25,50,shown
87,Najrīj,31.0,15.5,b,b,-6.25,-0.0155029296875,22.0,28.25,0.13079594,0.86920404,1,1,a,Opposite,b,0,1,1,0.08421851,0.9157815,b,-7.875,0.0,29.625,37.5,50,shown
88,Zhongshan,34.9,52.4,b,b,-7.375,-0.0155029296875,21.375,28.75,0.096664436,0.9033356,1,1,a,Opposite,b,0,1,1,0.047769308,0.95223075,b,-9.875,0.0,25.375,35.25,50,shown
89,Ortakent,37.1,55.7,b,b,-8.0,-0.007781982421875,20.375,28.375,0.08134266,0.9186573,1,1,a,Opposite,b,0,1,1,0.051335778,0.94866425,b,-9.625,0.0,26.875,36.5,50,shown
90,Sanaur,30.3,15.2,a,a,-0.0458984375,-5.40625,27.5,22.125,0.83600354,0.16399653,0,1,b,Opposite,a,0,0,1,0.92928493,0.07071505,a,0.0,-8.5,36.25,27.75,50,shown
91,Vilankulo,-22.0,-11.0,b,b,-3.90625,-0.03076171875,24.875,28.75,0.23608907,0.7639109,1,1,a,Opposite,b,0,1,1,0.08421845,0.9157816,b,-7.875,0.0,31.625,39.5,50,shown
92,Haldipur,14.3,7.2,b,a,-0.0966796875,-2.84375,27.375,24.625,0.6970594,0.30294058,1,0,a,Opposite,b,0,1,0,0.18017653,0.8198235,b,-5.0,-0.007781982421875,42.75,47.75,50,shown
93,Nuevo Ideal,24.9,12.4,b,b,-5.78125,-0.023193359375,22.375,28.125,0.14900531,0.8509947,1,1,a,Opposite,b,0,1,1,0.07585818,0.9241418,b,-8.25,0.0,27.75,36.0,50,shown
94,Banning,33.9,17.0,a,a,-0.0155029296875,-6.375,28.125,21.75,0.87345046,0.1265495,0,1,b,Opposite,a,0,0,1,0.94076335,0.059236664,a,0.0,-9.125,36.5,27.375,50,shown
95,Thatta,24.7,37.1,b,b,-6.625,-0.0155029296875,21.625,28.25,0.11840984,0.8815902,1,1,a,Opposite,b,0,1,1,0.0613831,0.93861693,b,-9.0,0.0,27.5,36.5,50,shown
96,Pharkia,25.9,13.0,a,b,-2.609375,-6.375,26.5,22.75,0.75701135,0.24298865,0,0,b,Opposite,a,0,0,0,0.79635006,0.20364991,a,-9.25,-13.75,28.25,23.75,50,shown
97,San Juan,13.8,6.9,a,a,-0.038330078125,-4.40625,27.25,22.875,0.790138,0.2098619,0,1,b,Opposite,a,0,0,1,0.93173397,0.06826597,a,0.0,-8.625,36.5,27.875,50,shown
98,Stara Zagora,42.4,63.6,b,b,-7.75,-0.007781982421875,21.0,28.75,0.08718631,0.91281366,1,1,a,Opposite,b,0,1,1,0.039855707,0.96014434,b,-10.5,0.0,24.75,35.25,50,shown
99,West Auckland,54.6,27.3,a,b,-0.06787109375,-4.5625,27.375,22.875,0.7963502,0.20364985,0,0,b,Opposite,a,0,0,0,0.9157816,0.08421845,a,0.0,-7.875,36.75,28.875,50,shown
100,Cox’s Bāzār,21.4,10.7,a,a,-0.0458984375,-4.65625,27.625,23.0,0.8024242,0.19757582,0,1,b,Opposite,a,0,0,1,0.9341043,0.06589563,a,0.0,-8.75,36.75,28.0,50,shown
101,Carpina,-7.9,-11.8,b,b,-4.03125,-0.023193359375,26.625,30.625,0.229326,0.77067405,1,1,a,Opposite,b,0,1,1,0.090248376,0.90975165,b,-7.625,0.0,31.875,39.5,50,shown
102,Bửu Long,11.0,16.4,<,a,-inf,-inf,-inf,-inf,,,-1,-1,a,Opposite,a,1,0,1,0.7963502,0.20364985,a,-0.0751953125,-4.5625,38.5,34.0,50,shown
103,Buzuluk,52.8,26.4,b,b,-8.25,-0.007781982421875,21.875,30.125,0.07585818,0.9241418,1,1,a,Opposite,b,0,1,1,0.047769308,0.95223075,b,-9.875,0.0,27.625,37.5,50,shown
104,Mouzaïa,36.5,54.7,b,a,-3.203125,-0.08251953125,27.25,30.375,0.2794948,0.72050524,1,0,a,Opposite,b,0,1,0,0.10705215,0.8929478,b,-7.0,0.0,36.5,43.5,50,shown
105,Cornedo Vicentino,45.6,22.8,b,b,-8.5,-0.007781982421875,20.875,29.375,0.07071501,0.92928493,1,1,a,Opposite,b,0,1,1,0.03843118,0.96156883,b,-10.625,0.0,26.625,37.25,50,shown
106,Vembaditālam,11.5,17.2,b,a,-3.5625,-0.060546875,25.75,29.25,0.25719377,0.74280626,1,0,a,Opposite,b,0,1,0,0.08134264,0.9186574,b,-8.0,0.0,32.75,40.75,50,shown
107,Bayat,40.5,20.3,a,b,-0.08984375,-4.09375,27.125,23.125,0.77067405,0.229326,0,0,b,Opposite,a,0,0,0,0.906593,0.093407035,a,0.0,-7.5,36.5,29.0,50,shown
108,Talne,48.9,24.4,b,b,-5.78125,-0.023193359375,22.125,27.875,0.14900525,0.85099477,1,1,a,Opposite,b,0,1,1,0.107052065,0.8929479,b,-7.0,0.0,34.5,41.5,50,shown
109,Ambatofotsy,-21.8,-32.6,b,b,-5.15625,-0.023193359375,23.625,28.75,0.17464907,0.82535094,1,1,a,Opposite,b,0,1,1,0.093407035,0.906593,b,-7.5,0.0,33.5,41.0,50,shown
110,Bāpaura,28.8,14.4,a,a,-0.0458984375,-4.03125,27.625,23.625,0.77067405,0.229326,0,1,b,Opposite,a,0,0,1,0.9241418,0.07585818,a,0.0,-8.25,36.25,28.0,50,shown
111,Peterlee,54.8,82.1,b,b,-8.25,-0.007781982421875,21.625,29.875,0.07585821,0.9241418,1,1,a,Opposite,b,0,1,1,0.03843118,0.96156883,b,-10.625,0.0,26.375,37.0,50,shown
112,Tierra Amarilla,-27.5,-41.2,a,a,-0.25390625,-1.875,29.375,27.75,0.62067735,0.37932274,0,1,b,Opposite,a,0,0,1,0.93173397,0.06826597,a,0.0,-8.625,37.0,28.375,50,shown
113,Mesetas,3.4,5.1,b,b,-0.5625,-0.9375,28.5,28.125,0.5283787,0.4716213,1,1,a,Opposite,b,0,1,1,0.3029408,0.6970592,b,-2.8125,-0.060546875,43.0,45.75,50,shown
114,Quakertown,40.4,60.7,a,a,-0.03076171875,-6.15625,28.5,22.375,0.8648371,0.13516283,0,1,b,Opposite,a,0,0,1,0.9214433,0.07855667,a,0.0,-8.125,36.5,28.375,50,shown
115,San Pedro Sacatepéquez,14.7,7.3,a,a,-0.060546875,-3.9375,26.25,22.375,0.76391107,0.236089,0,1,b,Opposite,a,0,0,1,0.9428394,0.057160605,a,0.0,-9.25,36.75,27.5,50,shown
116,Makamba,-4.1,-6.2,a,a,-0.11767578125,-2.625,30.0,27.5,0.6808272,0.31917277,0,1,b,Opposite,a,0,0,1,0.9341043,0.0658957,a,0.0,-8.75,37.25,28.5,50,shown
117,Espera Feliz,-20.6,-10.3,b,a,-1.1796875,-0.431640625,28.875,29.625,0.4434251,0.55657494,1,0,a,Opposite,b,0,1,0,0.2293258,0.77067417,b,-4.0,-0.0155029296875,44.0,48.0,50,shown
118,La Plata,38.5,19.3,a,a,-0.05322265625,-3.546875,27.25,23.75,0.74280643,0.25719357,0,1,b,Opposite,a,0,0,1,0.9341043,0.0658957,a,0.0,-8.75,36.25,27.5,50,shown
119,Fontenay-sous-Bois,48.9,24.4,a,a,-0.87109375,-8.5,27.375,19.75,0.90975165,0.09024835,0,1,b,Opposite,a,0,0,1,0.926755,0.07324502,a,0.0,-8.375,35.0,26.625,50,shown
120,Tecoh,20.7,31.1,b,a,-2.984375,-0.11083984375,26.25,29.125,0.29500207,0.7049979,1,0,a,Opposite,b,0,1,0,0.10002291,0.8999771,b,-7.25,0.0,34.25,41.5,50,shown
121,Comapa,19.2,28.7,a,a,-0.08984375,-4.46875,27.25,22.875,0.790138,0.2098619,0,1,b,Opposite,a,0,0,1,0.9317341,0.06826591,a,0.0,-8.625,36.75,28.125,50,shown
122,Pragatinagar,27.7,41.5,b,b,-2.296875,-0.171875,27.25,29.375,0.34435666,0.65564334,1,1,a,Opposite,b,0,1,1,0.20364998,0.79635006,b,-4.5,-0.007781982421875,42.0,46.5,50,shown
